AREA_CD,AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_IDX,ROAD_MSG,SUB_STN_NM,TEMP,PRECPT_TYPE,PCP_MSG,PM25,PM10,AREA_CONGEST_INT,ROAD_TRAFFIC_INT,SUB_STN_INT,SEARCH_FOR_NM,LAT,LNG
POI001,강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"삼성, 봉은사",25,없음,비 또는 눈 소식이 없어요.,11,16,1,2,2.0,강남,37.4966645,127.0629804
POI002,동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신당, 동대문역사문화공원, 동대문",25,없음,비 또는 눈 소식이 없어요.,12,15,2,2,3.0,동대문,37.5819561,127.054846
POI003,명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,26000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"을지로입구, 명동, 을지로3가, 광화문, 회현, 시청, 종각",25,없음,비 또는 눈 소식이 없어요.,9,12,1,2,7.0,명동,37.55998,126.9858296
POI004,이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"이태원, 한강진, 녹사평",25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,3.0,이태원,37.5385051,126.9925224
POI005,잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,40000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"잠실, 몽촌토성(평화의문), 올림픽공원(한국체대), 한성백제, 올림픽공원",25,없음,비 또는 눈 소식이 없어요.,7,15,1,2,5.0,잠실,37.5067945,127.0830482
POI006,종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"종로3가, 종로5가, 동묘앞, 광화문, 종각, 동대문",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,6.0,종로·청계,37.5691015,126.9786692
POI007,홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,52000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"상수, 망원, 합정, 홍대입구",25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,4.0,홍대,,
POI008,경복궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,경복궁,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,경복궁,37.579617,126.977041
POI009,광화문·덕수궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"경복궁, 광화문, 시청, 종각, 안국",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,5.0,광화문·덕수궁,37.5658049,126.9751461
POI010,보신각,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,종각,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,보신각,37.5697599,126.9836604
POI011,서울 암사동 유적,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,2023-09-18 20:55,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,25,없음,비 또는 눈 소식이 없어요.,0,0,1,1,,서울 암사동 유적,37.5601719,127.1298794
POI012,창덕궁·종묘,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"종로3가, 종로5가",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,2.0,창덕궁·종묘,37.5799002,126.991174
POI013,가산디지털단지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,가산디지털단지,26,없음,비 또는 눈 소식이 없어요.,6,14,1,2,1.0,가산디지털단지역,37.48089,126.8825735
POI014,강남역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,50000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신논현, 강남",25,없음,비 또는 눈 소식이 없어요.,3,8,1,2,2.0,강남역,37.497952,127.027619
POI015,건대입구역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,건대입구,25,없음,비 또는 눈 소식이 없어요.,9,24,1,2,1.0,건대입구역,37.540372,127.069276
POI016,고덕역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,고덕,24,없음,비 또는 눈 소식이 없어요.,0,0,1,2,1.0,고덕역,37.555051,127.15411
POI017,고속터미널역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7500,2023-09-18 20:55,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,고속터미널,25,없음,비 또는 눈 소식이 없어요.,3,8,1,2,1.0,고속터미널역,,
POI018,교대역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,2023-09-18 21:00,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,교대,25,없음,비 또는 눈 소식이 없어요.,3,8,1,2,1.0,교대역,37.4934705,127.0142285
