AREA_CD,AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_IDX,ROAD_MSG,SUB_STN_NM,TEMP,PRECPT_TYPE,PCP_MSG,PM25,PM10,AREA_CONGEST_INT,ROAD_TRAFFIC_INT,SUB_STN_INT,SEARCH_FOR_NM,LAT,LNG,DISTANCE_TO_USER
POI001,강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,2023-09-18 21:10,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"삼성, 봉은사",25,없음,비 또는 눈 소식이 없어요.,11,16,1,2,2.0,강남,37.4966645,127.0629804,10796.0
POI002,동대문 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,22000,2023-09-18 21:10,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"동대문, 동대문역사문화공원, 신당",25,없음,비 또는 눈 소식이 없어요.,12,15,3,2,3.0,동대문,37.5819561,127.054846,6568.0
POI003,명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,2023-09-18 21:10,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"광화문, 시청, 을지로3가, 을지로입구, 회현, 명동, 종각",25,없음,비 또는 눈 소식이 없어요.,9,12,1,2,7.0,명동,37.55998,126.9858296,1114.0
POI004,이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,2023-09-18 21:10,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,"녹사평, 이태원, 한강진",25,없음,비 또는 눈 소식이 없어요.,9,15,1,1,3.0,이태원,37.5385051,126.9925224,3569.0
POI005,잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,38000,2023-09-18 21:10,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"올림픽공원(한국체대), 한성백제, 몽촌토성(평화의문), 잠실, 올림픽공원",25,없음,비 또는 눈 소식이 없어요.,7,15,1,2,5.0,잠실,37.5067945,127.0830482,11318.0
POI006,종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,2023-09-18 21:10,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"광화문, 동대문, 종로3가, 종로5가, 종각, 동묘앞",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,6.0,종로·청계,37.5691015,126.9786692,310.0
POI007,홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,50000,2023-09-18 21:10,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"상수, 합정, 망원, 홍대입구",25,없음,비 또는 눈 소식이 없어요.,9,15,1,2,4.0,홍대,,,
POI008,경복궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,2023-09-18 21:15,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,경복궁,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,경복궁,37.579617,126.977041,1201.0
POI009,광화문·덕수궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,2023-09-18 21:15,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"경복궁, 광화문, 시청, 안국, 종각",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,5.0,광화문·덕수궁,37.5658049,126.9751461,745.0
POI010,보신각,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,2023-09-18 21:15,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,종각,25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,1.0,보신각,37.5697599,126.9836604,136.0
POI011,서울 암사동 유적,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,2023-09-18 21:15,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,,25,없음,비 또는 눈 소식이 없어요.,0,0,1,1,,서울 암사동 유적,37.5601719,127.1298794,13095.0
POI012,창덕궁·종묘,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,2023-09-18 21:15,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"종로3가, 종로5가",25,없음,비 또는 눈 소식이 없어요.,12,15,1,2,2.0,창덕궁·종묘,37.5799002,126.991174,1396.0
POI013,가산디지털단지역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,2023-09-18 21:15,원활,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,가산디지털단지,26,없음,비 또는 눈 소식이 없어요.,6,14,1,1,1.0,가산디지털단지역,37.48089,126.8825735,13203.0
