AREA_CD,AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_IDX,ROAD_MSG,SUB_STN_NM,TEMP,PRECPT_TYPE,PCP_MSG,PM25,PM10,AREA_CONGEST_INT,ROAD_TRAFFIC_INT,SUB_STN_INT,RTE_COUNT,SEARCH_FOR_NM,LAT,LNG
POI001,강남 MICE 관광특구,약간 붐빔,,22000,2023-11-08 18:25,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"봉은사, 삼성",14,비,비 또는 눈 소식이 없어요.,9,20,3,3,2.0,68.0,강남,37.4966645,127.0629804
POI002,동대문 관광특구,약간 붐빔,,22000,2023-11-08 18:25,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"신당, 동대문, 동대문역사문화공원",13,비,비 또는 눈 소식이 없어요.,8,17,3,2,3.0,31.0,동대문,37.5819561,127.054846
POI003,명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,58000,2023-11-08 18:25,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"명동, 을지로입구, 광화문, 을지로3가, 회현, 시청, 종각",13,비,비 또는 눈 소식이 없어요.,6,11,2,3,7.0,111.0,명동,37.55998,126.9858296
POI004,이태원 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,9500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"한강진, 녹사평, 이태원",13,비,비 또는 눈 소식이 없어요.,12,21,2,2,3.0,15.0,이태원,37.5385051,126.9925224
POI005,잠실 관광특구,약간 붐빔,,60000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"올림픽공원(한국체대), 한성백제, 몽촌토성(평화의문), 올림픽공원, 잠실",14,비,비 또는 눈 소식이 없어요.,13,23,3,2,5.0,101.0,잠실,37.5067945,127.0830482
POI006,종로·청계 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"종로5가, 종로3가, 광화문, 동대문, 동묘앞, 종각",13,비,비 또는 눈 소식이 없어요.,8,17,2,3,6.0,66.0,종로·청계,37.5691015,126.9786692
POI007,홍대 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,64000,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,"홍대입구, 합정, 망원, 상수",13,비,비 또는 눈 소식이 없어요.,9,24,2,2,4.0,61.0,홍익대학교,37.5507563,126.9254901
POI008,경복궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2023-11-08 18:30,서행,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,경복궁,13,비,비 또는 눈 소식이 없어요.,8,17,1,2,1.0,14.0,경복궁,37.579617,126.977041
POI009,광화문·덕수궁,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,"안국, 광화문, 경복궁, 시청, 종각",13,비,비 또는 눈 소식이 없어요.,8,17,2,3,5.0,93.0,광화문·덕수궁,37.5658049,126.9751461
POI010,보신각,약간 붐빔,,14000,2023-11-08 18:30,정체,해당 장소로 이동·진입시 시간이 오래 걸릴 수 있어요.,종각,13,비,비 또는 눈 소식이 없어요.,8,17,3,3,1.0,34.0,보신각,37.5697599,126.9836604
